1691	1906	1597	1870
1699	2156	1547	2100
1717	1672	1627	1677
1742	2358	1544	2309
1769	1408	1678	1438
1788	2544	1590	2507
1840	1178	1752	1194
1845	1686	1777	1691
1860	2705	1719	2665
1861	2295	1651	2219
1874	2015	1746	1934
1920	2620	1726	2544
1928	2824	1823	2793
1987	2357	1794	2285
1991	1027	1907	1030
2069	1771	2031	1758
2078	2805	1941	2704
2097	1565	2028	1595
2110	2553	1893	2430
2134	3013	2053	2987
2147	1924	2069	1910
2156	1172	2081	1178
2157	2189	2020	2115
2196	2367	2034	2293
2226	2685	2094	2597
2248	2878	2151	2844
2259	3063	2185	3050
2264	1698	2204	1716
2264	914	2192	908
2431	3080	2370	3080
2447	2714	2396	2631
2448	2881	2390	2872
2449	2449	2396	2414
2462	1646	2406	1667
2465	2255	2409	2271
2471	1478	2414	1491
2473	1814	2423	1833
2475	2026	2428	2060
2479	1191	2421	1192
2526	893	2467	884
2622	3070	2580	3082
2630	2904	2607	2895
2669	1723	2620	1739
2684	2685	2696	2618
2714	2369	2756	2304
2772	3012	2737	3015
2779	940	2720	929
2781	2824	2781	2783
2781	1940	2755	1923
2782	2825	2782	2784
2796	2574	2883	2480
2863	1221	2824	1231
2881	2927	2850	2925
2885	1805	2827	1781
2909	1589	2861	1644
2927	2702	2954	2643
2932	2387	2993	2334
2956	2822	2942	2811
3008	1048	2971	1057
3010	2715	3030	2693
3014	2030	3032	1955
3041	2326	3133	2274
3073	1730	3032	1727
3087	2573	3152	2554
3126	2412	3200	2373
3131	1245	3096	1266
3186	2195	3223	2139
3197	1477	3158	1514
3223	1984	3206	1945
3232	1742	3206	1743
