1597	1870    1691	1906	
1547	2100    1699	2156	
1627	1677    1717	1672	
1544	2309    1742	2358	
1678	1438    1769	1408	
1590	2507    1788	2544	
1752	1194    1840	1178	
1777	1691    1845	1686	
1719	2665    1860	2705	
1651	2219    1861	2295	
1746	1934    1874	2015	
1726	2544    1920	2620	
1823	2793    1928	2824	
1794	2285    1987	2357	
1907	1030    1991	1027	
2031	1758    2069	1771	
1941	2704    2078	2805	
2028	1595    2097	1565	
1893	2430    2110	2553	
2053	2987    2134	3013	
2069	1910    2147	1924	
2081	1178    2156	1172	
2020	2115    2157	2189	
2034	2293    2196	2367	
2094	2597    2226	2685	
2151	2844    2248	2878	
2185	3050    2259	3063	
2204	1716    2264	1698	
2192	908     2264	914	
2370	3080    2431	3080	
2396	2631    2447	2714	
2390	2872    2448	2881	
2396	2414    2449	2449	
2406	1667    2462	1646	
2409	2271    2465	2255	
2414	1491    2471	1478	
2423	1833    2473	1814	
2428	2060    2475	2026	
2421	1192    2479	1191	
2467	884     2526	893	
2580	3082    2622	3070	
2607	2895    2630	2904	
2620	1739    2669	1723	
2696	2618    2684	2685	
2756	2304    2714	2369	
2737	3015    2772	3012	
2720	929     2779	940	
2781	2783    2781	2824	
2755	1923    2781	1940	
2782	2784    2782	2825	
2883	2480    2796	2574	
2824	1231    2863	1221	
2850	2925    2881	2927	
2827	1781    2885	1805	
2861	1644    2909	1589	
2954	2643    2927	2702	
2993	2334    2932	2387	
2942	2811    2956	2822	
2971	1057    3008	1048	
3030	2693    3010	2715	
3032	1955    3014	2030	
3133	2274    3041	2326	
3032	1727    3073	1730	
3152	2554    3087	2573	
3200	2373    3126	2412	
3096	1266    3131	1245	
3223	2139    3186	2195	
3158	1514    3197	1477	
3206	1945    3223	1984	
3206	1743    3232	1742	
